Date,Symbol1,Symbol2,Confidence,Pv,Hurst
1458877483.0,BTCUSD_bitfinexUSD,BTCUSD_bitstampUSD,100.0,2.76995724525e-05,0.296594266509
1458877495.0,BTCUSD_coinbaseUSD,BTCUSD_bitfinexUSD,96.0,0.0416987524182,0.827970163917
1458877497.0,EURJPY,BTCUSD_bitbayPLN,100.0,0.000101710830619,0.878798873259
1458877498.0,BTCUSD_btcoidIDR,BTCUSD_bitbayPLN,100.0,0.00229568399887,0.859194321623
1458877498.0,BTCUSD_coinbaseEUR,BTCUSD_bitbayPLN,100.0,0.00467865308179,0.862479875187
1458877498.0,BTCUSD_localbtcGBP,BTCUSD_bitbayPLN,100.0,6.42026137925e-07,0.591501401943
1458877500.0,BTCUSD_localbtcRUB,BTCUSD_bitbayPLN,100.0,0.0069879298893,0.682654854584
1458877500.0,USDCHF,BTCUSD_bitbayPLN,100.0,1.33647426051e-05,0.835820224866
1458877501.0,NZDUSD,BTCUSD_bitbayPLN,96.0,0.0439929132939,0.816774758419
1458877501.0,USDJPY,BTCUSD_bitbayPLN,100.0,7.42960962681e-06,0.884277212376
1458877502.0,BTCUSD_virwoxSLL,BTCUSD_bitbayPLN,97.0,0.0386284405171,0.78853670305
1458877502.0,EURCHF,BTCUSD_bitbayPLN,100.0,0.00414622551995,0.876803630831
1458877503.0,NZDJPY,BTCUSD_bitbayPLN,100.0,0.00413125158343,0.861908311416
1458877507.0,BTCUSD_coinbaseUSD,BTCUSD_bitstampUSD,100.0,0.0084341789718,0.301337428129
1458877509.0,BTCUSD_bitfinexUSD,BTCUSD_btcoidIDR,100.0,0.0022741792118,0.698055359662
1458877520.0,BTCUSD_btcoidIDR,BTCUSD_bitstampUSD,100.0,0.00260674158036,0.362263971394
1458877521.0,BTCUSD_coinbaseEUR,BTCUSD_bitfinexUSD,99.0,0.0186240283468,0.812587793443
1458877521.0,EURUSD,BTCUSD_bitfinexUSD,100.0,0.00605646167268,0.892722906846
1458877524.0,USDJPY,BTCUSD_bitfinexUSD,100.0,0.000552011816091,0.866721731828
1458877524.0,NZDUSD,BTCUSD_bitfinexUSD,100.0,0.00243643076616,0.905212896942
1458877524.0,BTCUSD_virwoxSLL,BTCUSD_bitfinexUSD,98.0,0.0258377001454,0.815175034194
1458877525.0,USDCHF,BTCUSD_bitfinexUSD,99.0,0.0147451394126,0.86397644284
1458877526.0,BTCUSD_localbtcUSD,BTCUSD_bitfinexUSD,99.0,0.0134375636084,0.622862227982
1458877527.0,NZDJPY,BTCUSD_bitfinexUSD,95.0,0.0550564490953,-1.0
1458877533.0,BTCUSD_krakenEUR,BTCUSD_bitstampUSD,100.0,7.95192597049e-08,0.285249345474
1458877539.0,EURJPY,BTCUSD_bitstampUSD,100.0,4.62048378146e-05,0.361172389093
1458877541.0,EURUSD,BTCUSD_bitstampUSD,96.0,0.0496545112241,0.329503962536
1458877542.0,CHFJPY,BTCUSD_bitstampUSD,99.0,0.0164711483729,0.429330497295
1458877543.0,GBPJPY,BTCUSD_bitstampUSD,100.0,0.0028928618054,0.343610777367
1458877544.0,USDJPY,BTCUSD_bitstampUSD,100.0,1.76287351999e-07,0.339377057336
1458877545.0,BTCUSD_localbtcRUB,BTCUSD_bitstampUSD,95.0,0.0548765535608,-1.0
1458877545.0,NZDUSD,BTCUSD_bitstampUSD,100.0,4.94630381767e-06,0.311131001136
1458877545.0,BTCUSD_virwoxSLL,BTCUSD_bitstampUSD,97.0,0.0329079368581,0.386835396543
1458877545.0,AUDJPY,BTCUSD_bitstampUSD,100.0,1.17417213581e-05,0.377065217775
1458877546.0,USDCHF,BTCUSD_bitstampUSD,100.0,0.000228999548475,0.328952940809
1458877547.0,BTCUSD_rockEUR,BTCUSD_bitstampUSD,100.0,0.00249928481003,0.485272888565
1458877547.0,BTCUSD_localbtcUSD,BTCUSD_bitstampUSD,100.0,7.21034662584e-07,0.216051166796
1458877548.0,CADJPY,BTCUSD_bitstampUSD,100.0,2.86994543275e-06,0.36705978991
1458877549.0,NZDJPY,BTCUSD_bitstampUSD,99.0,0.0123492287067,0.426341479427
1458877549.0,BTCUSD_btcoidIDR,BTCUSD_coinbaseEUR,100.0,0.00268812090014,0.859476923259
1458877554.0,BTCUSD_coinbaseEUR,BTCUSD_krakenEUR,98.0,0.0239981981662,0.867006755373
1458877558.0,BTCUSD_coinbaseUSD,BTCUSD_localbtcGBP,97.0,0.0399711783498,0.494717338349
1458877559.0,BTCUSD_krakenEUR,BTCUSD_btcoidIDR,100.0,0.000277881682604,0.674493257471
1458877563.0,BTCUSD_localbtcGBP,BTCUSD_btcoidIDR,100.0,2.26280903493e-08,0.463401919672
1458877564.0,BTCUSD_localbtcRUB,BTCUSD_btcoidIDR,100.0,0.000115372113963,0.617143513915
1458877571.0,EURJPY,BTCUSD_btcoidIDR,100.0,0.000442190956145,0.804212524643
1458877572.0,AUDUSD,BTCUSD_btcoidIDR,100.0,0.00466389810843,0.8362879292
1458877575.0,EURUSD,BTCUSD_btcoidIDR,100.0,0.00853266388005,0.856445185878
1458877575.0,CHFJPY,BTCUSD_btcoidIDR,100.0,0.000520002216013,0.788326592103
1458877576.0,GBPUSD,BTCUSD_btcoidIDR,100.0,0.00218960630319,0.80736484523
1458877577.0,GBPJPY,BTCUSD_btcoidIDR,100.0,0.000210097418716,0.799119456696
1458877578.0,USDJPY,BTCUSD_btcoidIDR,100.0,0.00021653664754,0.874290464037
1458877578.0,NZDUSD,BTCUSD_btcoidIDR,100.0,0.000992502613578,0.84162679732
1458877580.0,BTCUSD_virwoxSLL,BTCUSD_btcoidIDR,100.0,0.00342944575538,0.689550048868
1458877580.0,BTCUSD_rockEUR,BTCUSD_btcoidIDR,100.0,0.000149500160043,0.6855034975
