permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
26,Paper,Paper,4.487,USD,IDEALPRO,26.0,,,1.0,2.2435,100000.0,0.0,45.513,BOT,5m_,USD,20170130 12:55:00 EST,,50.0,105182.104,1994700.0,105182.104,2.244,105300.0,105300.0,45.513
27,Paper,Paper,4.494,USD,IDEALPRO,27.0,,,1.0,2.247,100000.0,-100000.0,-4.494,SLD,5m_,USD,20170130 13:00:00 EST,,0.0,105177.61,1770000.0,105177.61,2.247,105300.0,105300.0,-4.494
28,Paper,Paper,4.488,USD,IDEALPRO,28.0,,,1.0,2.244,100000.0,0.0,295.512,BOT,5m_,USD,20170130 13:05:00 EST,,300.0,105473.122,1994400.0,105473.122,2.247,105600.0,105600.0,295.512
29,Paper,Paper,4.49,USD,IDEALPRO,29.0,,,1.0,2.245,100000.0,-100000.0,-4.49,SLD,5m_,USD,20170130 13:10:00 EST,,0.0,105468.632,1769900.0,105468.632,2.245,105600.0,105600.0,-4.49
30,Paper,Paper,4.489,USD,IDEALPRO,30.0,,,1.0,2.2445,100000.0,0.0,45.511,BOT,5m_,USD,20170130 14:45:00 EST,,50.0,105514.143,1994350.0,105514.143,2.245,105650.0,105650.0,45.511
31,Paper,Paper,4.49,USD,IDEALPRO,31.0,,,1.0,2.245,100000.0,-100000.0,-4.49,SLD,5m_,USD,20170130 14:50:00 EST,,0.0,105509.653,1769850.0,105509.653,2.245,105650.0,105650.0,-4.49
32,Paper,Paper,4.487,USD,IDEALPRO,32.0,,,1.0,2.2435,100000.0,0.0,145.513,BOT,5m_,USD,20170130 14:55:00 EST,,150.0,105655.166,1994200.0,105655.166,2.245,105800.0,105800.0,145.513
33,Paper,Paper,4.488,USD,IDEALPRO,33.0,,,1.0,2.244,100000.0,-100000.0,-4.488,SLD,5m_,USD,20170130 15:00:00 EST,,0.0,105650.678,1769800.0,105650.678,2.244,105800.0,105800.0,-4.488
34,Paper,Paper,4.486,USD,IDEALPRO,34.0,,,1.0,2.243,100000.0,0.0,95.514,BOT,5m_,USD,20170130 15:05:00 EST,,100.0,105746.192,1994100.0,105746.192,2.244,105900.0,105900.0,95.514
35,Paper,Paper,4.49,USD,IDEALPRO,35.0,,,1.0,2.245,100000.0,-100000.0,-4.49,SLD,5m_,USD,20170130 15:10:00 EST,,0.0,105741.702,1769600.0,105741.702,2.245,105900.0,105900.0,-4.49
36,Paper,Paper,4.487,USD,IDEALPRO,36.0,,,1.0,2.2435,100000.0,0.0,145.513,BOT,5m_,USD,20170130 15:15:00 EST,,150.0,105887.215,1993950.0,105887.215,2.245,106050.0,106050.0,145.513
37,Paper,Paper,4.486,USD,IDEALPRO,37.0,,,1.0,2.243,100000.0,-100000.0,-4.486,SLD,5m_,USD,20170130 15:20:00 EST,,0.0,105882.729,1769650.0,105882.729,2.243,106050.0,106050.0,-4.486
38,Paper,Paper,4.484,USD,IDEALPRO,38.0,,,1.0,2.242,100000.0,0.0,95.516,BOT,5m_,USD,20170130 15:25:00 EST,,100.0,105978.245,1993850.0,105978.245,2.243,106150.0,106150.0,95.516
39,Paper,Paper,4.481,USD,IDEALPRO,39.0,,,1.0,2.2405,100000.0,-100000.0,-4.481,SLD,5m_,USD,20170130 15:30:00 EST,,0.0,105973.764,1769800.0,105973.764,2.2405,106150.0,106150.0,-4.481
40,Paper,Paper,4.476,USD,IDEALPRO,40.0,,,1.0,2.238,100000.0,0.0,245.524,BOT,5m_,USD,20170130 16:00:00 EST,,250.0,106219.288,1993600.0,106219.288,2.2405,106400.0,106400.0,245.524
41,Paper,Paper,4.48,USD,IDEALPRO,41.0,,,1.0,2.24,100000.0,-100000.0,-4.48,SLD,5m_,USD,20170130 16:05:00 EST,,0.0,106214.808,1769600.0,106214.808,2.24,106400.0,106400.0,-4.48
42,Paper,Paper,4.479,USD,IDEALPRO,42.0,,,1.0,2.2395,100000.0,0.0,45.521,BOT,5m_,USD,20170130 16:10:00 EST,,50.0,106260.329,1993550.0,106260.329,2.24,106450.0,106450.0,45.521
43,Paper,Paper,4.48,USD,IDEALPRO,43.0,,,1.0,2.24,100000.0,-100000.0,-4.48,SLD,5m_,USD,20170130 16:15:00 EST,,0.0,106255.849,1769550.0,106255.849,2.24,106450.0,106450.0,-4.48
44,Paper,Paper,4.471,USD,IDEALPRO,44.0,,,1.0,2.2355,100000.0,0.0,445.529,BOT,5m_,USD,20170130 16:40:00 EST,,450.0,106701.378,1993100.0,106701.378,2.24,106900.0,106900.0,445.529
45,Paper,Paper,4.46,USD,IDEALPRO,45.0,,,1.0,2.23,100000.0,-100000.0,-4.46,SLD,5m_,USD,20170130 16:45:00 EST,,0.0,106696.918,1770100.0,106696.918,2.23,106900.0,106900.0,-4.46
46,Paper,Paper,4.459,USD,IDEALPRO,46.0,,,1.0,2.2295,100000.0,0.0,45.541,BOT,5m_,USD,20170130 17:15:00 EST,,50.0,106742.459,1993050.0,106742.459,2.23,106950.0,106950.0,45.541
47,Paper,Paper,4.455,USD,IDEALPRO,47.0,,,1.0,2.2275,100000.0,-100000.0,-4.455,SLD,5m_,USD,20170130 17:20:00 EST,,0.0,106738.004,1770300.0,106738.004,2.2275,106950.0,106950.0,-4.455
48,Paper,Paper,4.454,USD,IDEALPRO,48.0,,,1.0,2.227,100000.0,0.0,45.546,BOT,5m_,USD,20170130 17:30:00 EST,,50.0,106783.55,1993000.0,106783.55,2.2275,107000.0,107000.0,45.546
49,Paper,Paper,4.456,USD,IDEALPRO,49.0,,,1.0,2.228,100000.0,-100000.0,-4.456,SLD,5m_,USD,20170130 17:35:00 EST,,0.0,106779.094,1770200.0,106779.094,2.228,107000.0,107000.0,-4.456
50,Paper,Paper,4.454,USD,IDEALPRO,50.0,,,1.0,2.227,100000.0,0.0,95.546,BOT,5m_,USD,20170130 17:40:00 EST,,100.0,106874.64,1992900.0,106874.64,2.228,107100.0,107100.0,95.546
51,Paper,Paper,4.452,USD,IDEALPRO,51.0,,,1.0,2.226,100000.0,-100000.0,-4.452,SLD,5m_,USD,20170130 17:45:00 EST,,0.0,106870.188,1770300.0,106870.188,2.226,107100.0,107100.0,-4.452
52,Paper,Paper,4.449,USD,IDEALPRO,52.0,,,1.0,2.2245,100000.0,0.0,145.551,BOT,5m_,USD,20170130 18:20:00 EST,,150.0,107015.739,1992750.0,107015.739,2.226,107250.0,107250.0,145.551
53,Paper,Paper,4.446,USD,IDEALPRO,53.0,,,1.0,2.223,100000.0,-100000.0,-4.446,SLD,5m_,USD,20170130 18:25:00 EST,,0.0,107011.293,1770450.0,107011.293,2.223,107250.0,107250.0,-4.446
54,Paper,Paper,4.44,USD,IDEALPRO,54.0,,,1.0,2.22,100000.0,0.0,295.56,BOT,5m_,USD,20170131 10:05:00 EST,,300.0,107306.853,1992450.0,107306.853,2.223,107550.0,107550.0,295.56
55,Paper,Paper,4.43,USD,IDEALPRO,55.0,,,1.0,2.215,100000.0,-100000.0,-4.43,SLD,5m_,USD,20170131 10:10:00 EST,,0.0,107302.423,1770950.0,107302.423,2.215,107550.0,107550.0,-4.43
56,Paper,Paper,4.424,USD,IDEALPRO,56.0,,,1.0,2.212,100000.0,0.0,295.576,BOT,5m_,USD,20170131 10:15:00 EST,,300.0,107597.999,1992150.0,107597.999,2.215,107850.0,107850.0,295.576
57,Paper,Paper,4.44,USD,IDEALPRO,57.0,,,1.0,2.22,100000.0,-100000.0,-4.44,SLD,5m_,USD,20170131 10:20:00 EST,,0.0,107593.559,1770150.0,107593.559,2.22,107850.0,107850.0,-4.44
58,Paper,Paper,4.436,USD,IDEALPRO,58.0,,,1.0,2.218,100000.0,0.0,195.564,BOT,5m_,USD,20170131 13:45:00 EST,,200.0,107789.123,1991950.0,107789.123,2.22,108050.0,108050.0,195.564
59,Paper,Paper,4.442,USD,IDEALPRO,59.0,,,1.0,2.221,100000.0,-100000.0,-4.442,SLD,5m_,USD,20170131 13:50:00 EST,,0.0,107784.681,1769850.0,107784.681,2.221,108050.0,108050.0,-4.442
60,Paper,Paper,4.436,USD,IDEALPRO,60.0,,,1.0,2.218,100000.0,0.0,295.564,BOT,5m_,USD,20170131 13:55:00 EST,,300.0,108080.245,1991650.0,108080.245,2.221,108350.0,108350.0,295.564
