Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20170130 17:40:00 EST,paperUSD,106874.64,107100.0,1992900.0,0,6874.64,7100.0,USD,106874.64,107100.0,0
20170130 17:45:00 EST,paperUSD,106870.188,107100.0,1770300.0,0,6870.188,7100.0,USD,106870.188,107100.0,0
20170130 18:20:00 EST,paperUSD,107015.739,107250.0,1992750.0,0,7015.739,7250.0,USD,107015.739,107250.0,0
20170130 18:25:00 EST,paperUSD,107011.293,107250.0,1770450.0,0,7011.293,7250.0,USD,107011.293,107250.0,0
20170131 10:05:00 EST,paperUSD,107306.853,107550.0,1992450.0,0,7306.853,7550.0,USD,107306.853,107550.0,0
20170131 10:10:00 EST,paperUSD,107302.423,107550.0,1770950.0,0,7302.423,7550.0,USD,107302.423,107550.0,0
20170131 10:15:00 EST,paperUSD,107597.999,107850.0,1992150.0,0,7597.999,7850.0,USD,107597.999,107850.0,0
20170131 10:20:00 EST,paperUSD,107593.559,107850.0,1770150.0,0,7593.559,7850.0,USD,107593.559,107850.0,0
20170131 13:45:00 EST,paperUSD,107789.123,108050.0,1991950.0,0,7789.123,8050.0,USD,107789.123,108050.0,0
20170131 13:50:00 EST,paperUSD,107784.681,108050.0,1769850.0,0,7784.681,8050.0,USD,107784.681,108050.0,0
20170131 13:55:00 EST,paperUSD,108080.245,108350.0,1991650.0,0,8080.245,8350.0,USD,108080.245,108350.0,0
20170131 14:00:00 EST,paperUSD,108075.804,108350.0,1769600.0,0,8075.804,8350.0,USD,108075.804,108350.0,0
20170131 14:05:00 EST,paperUSD,108221.366,108500.0,1991500.0,0,8221.366,8500.0,USD,108221.366,108500.0,0
20170131 14:10:00 EST,paperUSD,108216.931,108500.0,1769750.0,0,8216.931,8500.0,USD,108216.931,108500.0,0
20170131 14:15:00 EST,paperUSD,108312.498,108600.0,1991400.0,0,8312.498,8600.0,USD,108312.498,108600.0,0
20170131 14:20:00 EST,paperUSD,108308.066,108600.0,1769800.0,0,8308.066,8600.0,USD,108308.066,108600.0,0
20170131 14:25:00 EST,paperUSD,108403.636,108700.0,1991300.0,0,8403.636,8700.0,USD,108403.636,108700.0,0
20170131 14:30:00 EST,paperUSD,108399.209,108700.0,1769950.0,0,8399.209,8700.0,USD,108399.209,108700.0,0
20170131 14:35:00 EST,paperUSD,108494.784,108800.0,1991200.0,0,8494.784,8800.0,USD,108494.784,108800.0,0
20170131 14:40:00 EST,paperUSD,108490.353,108800.0,1769650.0,0,8490.353,8800.0,USD,108490.353,108800.0,0
20170131 14:45:00 EST,paperUSD,108835.929,109150.0,1990850.0,0,8835.929,9150.0,USD,108835.929,109150.0,0
20170131 14:50:00 EST,paperUSD,108831.505,109150.0,1769650.0,0,8831.505,9150.0,USD,108831.505,109150.0,0
20170131 16:50:00 EST,paperUSD,109127.087,109450.0,1990550.0,0,9127.087,9450.0,USD,109127.087,109450.0,0
