permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,2.0,USD,IDEALPRO,1.0,,,1.0,3.72,100.0,100.0,-2.0,BOT,5m_,USD,20170214 17:05:00 EST,,0.0,99998.0,1999628.0,99998.0,3.72,100000.0,100000.0,-2.0
2,Paper,Paper,2.0,USD,IDEALPRO,2.0,,,1.0,3.72,100.0,0.0,-2.0,SLD,5m_,USD,20170214 17:30:00 EST,,0.0,99996.0,2000000.0,99996.0,3.72,100000.0,100000.0,-2.0
3,Paper,Paper,2.0,USD,IDEALPRO,3.0,,,1.0,3.71,100.0,100.0,-2.0,BOT,5m_,USD,20170214 17:35:00 EST,,0.0,99994.0,1999629.0,99994.0,3.71,100000.0,100000.0,-2.0
