trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
19.0,-3.9,20170130 15:25:00 EST,20170130 15:25:00 EST,20170130 15:25:00 EST,2.242,,5m_#Barclays,short,,20170130 15:20:00 EST,closed,20170130 15:20:00 EST,2.243,,,100.0,100.0,,5m_#Barclays,,0.1,100.0,USD,99930.15,4.0,1999993.85,99930.15,100006.15,100006.15,,
20.0,-3.75,20170130 16:00:00 EST,20170130 16:00:00 EST,20170130 16:00:00 EST,2.238,,5m_#Barclays,short,,20170130 15:30:00 EST,closed,20170130 15:30:00 EST,2.2405,,,100.0,100.0,,5m_#Barclays,,0.25,100.0,USD,99926.4,4.0,1999993.6,99926.4,100006.4,100006.4,,
21.0,-3.95,20170130 16:10:00 EST,20170130 16:10:00 EST,20170130 16:10:00 EST,2.2395,,5m_#Barclays,short,,20170130 16:05:00 EST,closed,20170130 16:05:00 EST,2.24,,,100.0,100.0,,5m_#Barclays,,0.05,100.0,USD,99922.45,4.0,1999993.55,99922.45,100006.45,100006.45,,
22.0,-3.55,20170130 16:40:00 EST,20170130 16:40:00 EST,20170130 16:40:00 EST,2.2355,,5m_#Barclays,short,,20170130 16:15:00 EST,closed,20170130 16:15:00 EST,2.24,,,100.0,100.0,,5m_#Barclays,,0.45,100.0,USD,99918.9,4.0,1999993.1,99918.9,100006.9,100006.9,,
23.0,-3.95,20170130 17:15:00 EST,20170130 17:15:00 EST,20170130 17:15:00 EST,2.2295,,5m_#Barclays,short,,20170130 16:45:00 EST,closed,20170130 16:45:00 EST,2.23,,,100.0,100.0,,5m_#Barclays,,0.05,100.0,USD,99914.95,4.0,1999993.05,99914.95,100006.95,100006.95,,
24.0,-3.95,20170130 17:30:00 EST,20170130 17:30:00 EST,20170130 17:30:00 EST,2.227,,5m_#Barclays,short,,20170130 17:20:00 EST,closed,20170130 17:20:00 EST,2.2275,,,100.0,100.0,,5m_#Barclays,,0.05,100.0,USD,99911.0,4.0,1999993.0,99911.0,100007.0,100007.0,,
25.0,-3.9,20170130 17:40:00 EST,20170130 17:40:00 EST,20170130 17:40:00 EST,2.227,,5m_#Barclays,short,,20170130 17:35:00 EST,closed,20170130 17:35:00 EST,2.228,,,100.0,100.0,,5m_#Barclays,,0.1,100.0,USD,99907.1,4.0,1999992.9,99907.1,100007.1,100007.1,,
26.0,-3.85,20170130 18:20:00 EST,20170130 18:20:00 EST,20170130 18:20:00 EST,2.2245,,5m_#Barclays,short,,20170130 17:45:00 EST,closed,20170130 17:45:00 EST,2.226,,,100.0,100.0,,5m_#Barclays,,0.15,100.0,USD,99903.25,4.0,1999992.75,99903.25,100007.25,100007.25,,
27.0,-3.7,20170131 10:05:00 EST,20170131 10:05:00 EST,20170131 10:05:00 EST,2.22,,5m_#Barclays,short,,20170130 18:25:00 EST,closed,20170130 18:25:00 EST,2.223,,,100.0,100.0,,5m_#Barclays,,0.3,100.0,USD,99899.55,4.0,1999992.45,99899.55,100007.55,100007.55,,
28.0,-3.7,20170131 10:15:00 EST,20170131 10:15:00 EST,20170131 10:15:00 EST,2.212,,5m_#Barclays,short,,20170131 10:10:00 EST,closed,20170131 10:10:00 EST,2.215,,,100.0,100.0,,5m_#Barclays,,0.3,100.0,USD,99895.85,4.0,1999992.15,99895.85,100007.85,100007.85,,
29.0,-3.8,20170131 13:45:00 EST,20170131 13:45:00 EST,20170131 13:45:00 EST,2.218,,5m_#Barclays,short,,20170131 10:20:00 EST,closed,20170131 10:20:00 EST,2.22,,,100.0,100.0,,5m_#Barclays,,0.2,100.0,USD,99892.05,4.0,1999991.95,99892.05,100008.05,100008.05,,
30.0,-3.7,20170131 13:55:00 EST,20170131 13:55:00 EST,20170131 13:55:00 EST,2.218,,5m_#Barclays,short,,20170131 13:50:00 EST,closed,20170131 13:50:00 EST,2.221,,,100.0,100.0,,5m_#Barclays,,0.3,100.0,USD,99888.35,4.0,1999991.65,99888.35,100008.35,100008.35,,
31.0,-3.85,20170131 14:05:00 EST,20170131 14:05:00 EST,20170131 14:05:00 EST,2.219,,5m_#Barclays,short,,20170131 14:00:00 EST,closed,20170131 14:00:00 EST,2.2205,,,100.0,100.0,,5m_#Barclays,,0.15,100.0,USD,99884.5,4.0,1999991.5,99884.5,100008.5,100008.5,,
32.0,-3.9,20170131 14:15:00 EST,20170131 14:15:00 EST,20170131 14:15:00 EST,2.2165,,5m_#Barclays,short,,20170131 14:10:00 EST,closed,20170131 14:10:00 EST,2.2175,,,100.0,100.0,,5m_#Barclays,,0.1,100.0,USD,99880.6,4.0,1999991.4,99880.6,100008.6,100008.6,,
