permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,2.247,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 13:00:00 EST,,0.0,99951.3,1999770.0,99951.3,2.247,100005.3,100005.3,-2.0
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,2.244,100.0,0.0,-1.7,BOT,5m_,USD,20170130 13:05:00 EST,,0.3,99949.6,1999994.4,99949.6,2.247,100005.6,100005.6,-1.7
29,Paper,Paper,2.0,USD,IDEALPRO,29.0,,,1.0,2.245,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 13:10:00 EST,,0.0,99947.6,1999769.9,99947.6,2.245,100005.6,100005.6,-2.0
30,Paper,Paper,2.0,USD,IDEALPRO,30.0,,,1.0,2.2445,100.0,0.0,-1.95,BOT,5m_,USD,20170130 14:45:00 EST,,0.05,99945.65,1999994.35,99945.65,2.245,100005.65,100005.65,-1.95
31,Paper,Paper,2.0,USD,IDEALPRO,31.0,,,1.0,2.245,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 14:50:00 EST,,0.0,99943.65,1999769.85,99943.65,2.245,100005.65,100005.65,-2.0
32,Paper,Paper,2.0,USD,IDEALPRO,32.0,,,1.0,2.2435,100.0,0.0,-1.85,BOT,5m_,USD,20170130 14:55:00 EST,,0.15,99941.8,1999994.2,99941.8,2.245,100005.8,100005.8,-1.85
33,Paper,Paper,2.0,USD,IDEALPRO,33.0,,,1.0,2.244,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 15:00:00 EST,,0.0,99939.8,1999769.8,99939.8,2.244,100005.8,100005.8,-2.0
34,Paper,Paper,2.0,USD,IDEALPRO,34.0,,,1.0,2.243,100.0,0.0,-1.9,BOT,5m_,USD,20170130 15:05:00 EST,,0.1,99937.9,1999994.1,99937.9,2.244,100005.9,100005.9,-1.9
35,Paper,Paper,2.0,USD,IDEALPRO,35.0,,,1.0,2.245,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 15:10:00 EST,,0.0,99935.9,1999769.6,99935.9,2.245,100005.9,100005.9,-2.0
36,Paper,Paper,2.0,USD,IDEALPRO,36.0,,,1.0,2.2435,100.0,0.0,-1.85,BOT,5m_,USD,20170130 15:15:00 EST,,0.15,99934.05,1999993.95,99934.05,2.245,100006.05,100006.05,-1.85
37,Paper,Paper,2.0,USD,IDEALPRO,37.0,,,1.0,2.243,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 15:20:00 EST,,0.0,99932.05,1999769.65,99932.05,2.243,100006.05,100006.05,-2.0
38,Paper,Paper,2.0,USD,IDEALPRO,38.0,,,1.0,2.242,100.0,0.0,-1.9,BOT,5m_,USD,20170130 15:25:00 EST,,0.1,99930.15,1999993.85,99930.15,2.243,100006.15,100006.15,-1.9
39,Paper,Paper,2.0,USD,IDEALPRO,39.0,,,1.0,2.2405,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 15:30:00 EST,,0.0,99928.15,1999769.8,99928.15,2.2405,100006.15,100006.15,-2.0
40,Paper,Paper,2.0,USD,IDEALPRO,40.0,,,1.0,2.238,100.0,0.0,-1.75,BOT,5m_,USD,20170130 16:00:00 EST,,0.25,99926.4,1999993.6,99926.4,2.2405,100006.4,100006.4,-1.75
41,Paper,Paper,2.0,USD,IDEALPRO,41.0,,,1.0,2.24,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 16:05:00 EST,,0.0,99924.4,1999769.6,99924.4,2.24,100006.4,100006.4,-2.0
