permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
1,Paper,Paper,2.15354,USD,IDEALPRO,1.0,,,1.0,1.07677,100000.0,-100000.0,-2.15354,SLD,5m_,USD,20170203 20:55:00 EST,,0.0,99997.84646,1892323.0,99997.84646,1.07677,100000.0,100000.0,-2.15354
2,Paper,Paper,2.15228,USD,IDEALPRO,2.0,,,1.0,1.07614,100000.0,0.0,60.84772,BOT,5m_,USD,20170203 21:20:00 EST,,63.0,100058.69418,1999937.0,100058.69418,1.07677,100063.0,100063.0,60.84772
3,Paper,Paper,2.15248,USD,IDEALPRO,3.0,,,1.0,1.07624,100000.0,-100000.0,-2.15248,SLD,5m_,USD,20170203 21:25:00 EST,,0.0,100056.5417,1892313.0,100056.5417,1.07624,100063.0,100063.0,-2.15248
4,Paper,Paper,2.1513,USD,IDEALPRO,4.0,,,1.0,1.07565,100000.0,0.0,56.8487,BOT,5m_,USD,20170206 09:20:00 EST,,59.0,100113.3904,1999878.0,100113.3904,1.07624,100122.0,100122.0,56.8487
5,Paper,Paper,2.15014,USD,IDEALPRO,5.0,,,1.0,1.07507,100000.0,-100000.0,-2.15014,SLD,5m_,USD,20170206 09:25:00 EST,,0.0,100111.24026,1892371.0,100111.24026,1.07507,100122.0,100122.0,-2.15014
6,Paper,Paper,2.14884,USD,IDEALPRO,6.0,,,1.0,1.07442,100000.0,0.0,62.85116,BOT,5m_,USD,20170206 11:10:00 EST,,65.0,100174.09142,1999813.0,100174.09142,1.07507,100187.0,100187.0,62.85116
7,Paper,Paper,2.14904,USD,IDEALPRO,7.0,,,1.0,1.07452,100000.0,-100000.0,-2.14904,SLD,5m_,USD,20170206 11:15:00 EST,,0.0,100171.94238,1892361.0,100171.94238,1.07452,100187.0,100187.0,-2.14904
8,Paper,Paper,2.14776,USD,IDEALPRO,8.0,,,1.0,1.07388,100000.0,0.0,61.85224,BOT,5m_,USD,20170206 12:05:00 EST,,64.0,100233.79462,1999749.0,100233.79462,1.07452,100251.0,100251.0,61.85224
9,Paper,Paper,2.14788,USD,IDEALPRO,9.0,,,1.0,1.07394,100000.0,-100000.0,-2.14788,SLD,5m_,USD,20170206 12:10:00 EST,,0.0,100231.64674,1892355.0,100231.64674,1.07394,100251.0,100251.0,-2.14788
10,Paper,Paper,2.14682,USD,IDEALPRO,10.0,,,1.0,1.07341,100000.0,0.0,50.85318,BOT,5m_,USD,20170206 12:30:00 EST,,53.0,100282.49992,1999696.0,100282.49992,1.07394,100304.0,100304.0,50.85318
11,Paper,Paper,2.1472,USD,IDEALPRO,11.0,,,1.0,1.0736,100000.0,-100000.0,-2.1472,SLD,5m_,USD,20170206 12:35:00 EST,,0.0,100280.35272,1892336.0,100280.35272,1.0736,100304.0,100304.0,-2.1472
12,Paper,Paper,2.1462,USD,IDEALPRO,12.0,,,1.0,1.0731,100000.0,0.0,47.8538,BOT,5m_,USD,20170206 14:40:00 EST,,50.0,100328.20652,1999646.0,100328.20652,1.0736,100354.0,100354.0,47.8538
13,Paper,Paper,2.1464,USD,IDEALPRO,13.0,,,1.0,1.0732,100000.0,-100000.0,-2.1464,SLD,5m_,USD,20170206 14:45:00 EST,,0.0,100326.06012,1892326.0,100326.06012,1.0732,100354.0,100354.0,-2.1464
14,Paper,Paper,2.1445,USD,IDEALPRO,14.0,,,1.0,1.07225,100000.0,0.0,92.8555,BOT,5m_,USD,20170206 15:00:00 EST,,95.0,100418.91562,1999551.0,100418.91562,1.0732,100449.0,100449.0,92.8555
15,Paper,Paper,2.14332,USD,IDEALPRO,15.0,,,1.0,1.07166,100000.0,-100000.0,-2.14332,SLD,5m_,USD,20170206 15:05:00 EST,,0.0,100416.7723,1892385.0,100416.7723,1.07166,100449.0,100449.0,-2.14332
16,Paper,Paper,2.14164,USD,IDEALPRO,16.0,,,1.0,1.07082,100000.0,0.0,81.85836,BOT,5m_,USD,20170206 16:05:00 EST,,84.0,100498.63066,1999467.0,100498.63066,1.07166,100533.0,100533.0,81.85836
17,Paper,Paper,2.1422,USD,IDEALPRO,17.0,,,1.0,1.0711,100000.0,-100000.0,-2.1422,SLD,5m_,USD,20170206 16:10:00 EST,,0.0,100496.48846,1892357.0,100496.48846,1.0711,100533.0,100533.0,-2.1422
18,Paper,Paper,2.14028,USD,IDEALPRO,18.0,,,1.0,1.07014,100000.0,0.0,93.85972,BOT,5m_,USD,20170207 08:10:00 EST,,96.0,100590.34818,1999371.0,100590.34818,1.0711,100629.0,100629.0,93.85972
19,Paper,Paper,2.13972,USD,IDEALPRO,19.0,,,1.0,1.06986,100000.0,-100000.0,-2.13972,SLD,5m_,USD,20170207 08:15:00 EST,,0.0,100588.20846,1892385.0,100588.20846,1.06986,100629.0,100629.0,-2.13972
20,Paper,Paper,2.13834,USD,IDEALPRO,20.0,,,1.0,1.06917,100000.0,0.0,66.86166,BOT,5m_,USD,20170207 08:40:00 EST,,69.0,100655.07012,1999302.0,100655.07012,1.06986,100698.0,100698.0,66.86166
21,Paper,Paper,2.13858,USD,IDEALPRO,21.0,,,1.0,1.06929,100000.0,-100000.0,-2.13858,SLD,5m_,USD,20170207 08:45:00 EST,,0.0,100652.93154,1892373.0,100652.93154,1.06929,100698.0,100698.0,-2.13858
22,Paper,Paper,2.13652,USD,IDEALPRO,22.0,,,1.0,1.06826,100000.0,0.0,100.86348,BOT,5m_,USD,20170207 09:15:00 EST,,103.0,100753.79502,1999199.0,100753.79502,1.06929,100801.0,100801.0,100.86348
23,Paper,Paper,2.1363,USD,IDEALPRO,23.0,,,1.0,1.06815,100000.0,-100000.0,-2.1363,SLD,5m_,USD,20170207 09:20:00 EST,,0.0,100751.65872,1892384.0,100751.65872,1.06815,100801.0,100801.0,-2.1363
24,Paper,Paper,2.13418,USD,IDEALPRO,24.0,,,1.0,1.06709,100000.0,0.0,103.86582,BOT,5m_,USD,20170207 10:05:00 EST,,106.0,100855.52454,1999093.0,100855.52454,1.06815,100907.0,100907.0,103.86582
25,Paper,Paper,2.13328,USD,IDEALPRO,25.0,,,1.0,1.06664,100000.0,-100000.0,-2.13328,SLD,5m_,USD,20170207 10:10:00 EST,,0.0,100853.39126,1892429.0,100853.39126,1.06664,100907.0,100907.0,-2.13328
26,Paper,Paper,2.13152,USD,IDEALPRO,26.0,,,1.0,1.06576,100000.0,0.0,85.86848,BOT,5m_,USD,20170207 11:15:00 EST,,88.0,100939.25974,1999005.0,100939.25974,1.06664,100995.0,100995.0,85.86848
27,Paper,Paper,2.13174,USD,IDEALPRO,27.0,,,1.0,1.06587,100000.0,-100000.0,-2.13174,SLD,5m_,USD,20170207 11:20:00 EST,,0.0,100937.128,1892418.0,100937.128,1.06587,100995.0,100995.0,-2.13174
28,Paper,Paper,2.12926,USD,IDEALPRO,28.0,,,1.0,1.06463,100000.0,0.0,121.87074,BOT,5m_,USD,20170208 10:00:00 EST,,124.0,101058.99874,1998881.0,101058.99874,1.06587,101119.0,101119.0,121.87074
29,Paper,Paper,2.1293,USD,IDEALPRO,29.0,,,1.0,1.06465,100000.0,-100000.0,-2.1293,SLD,5m_,USD,20170208 10:05:00 EST,,0.0,101056.86944,1892416.0,101056.86944,1.06465,101119.0,101119.0,-2.1293
30,Paper,Paper,2.12826,USD,IDEALPRO,30.0,,,1.0,1.06413,100000.0,0.0,49.87174,BOT,5m_,USD,20170208 11:30:00 EST,,52.0,101106.74118,1998829.0,101106.74118,1.06465,101171.0,101171.0,49.87174
31,Paper,Paper,2.12908,USD,IDEALPRO,31.0,,,1.0,1.06454,100000.0,-100000.0,-2.12908,SLD,5m_,USD,20170208 11:35:00 EST,,0.0,101104.6121,1892375.0,101104.6121,1.06454,101171.0,101171.0,-2.12908
32,Paper,Paper,2.1279,USD,IDEALPRO,32.0,,,1.0,1.06395,100000.0,0.0,56.8721,BOT,5m_,USD,20170210 09:55:00 EST,,59.0,101161.4842,1998770.0,101161.4842,1.06454,101230.0,101230.0,56.8721
33,Paper,Paper,2.12764,USD,IDEALPRO,33.0,,,1.0,1.06382,100000.0,-100000.0,-2.12764,SLD,5m_,USD,20170210 10:00:00 EST,,0.0,101159.35656,1892388.0,101159.35656,1.06382,101230.0,101230.0,-2.12764
34,Paper,Paper,2.12608,USD,IDEALPRO,34.0,,,1.0,1.06304,100000.0,0.0,75.87392,BOT,5m_,USD,20170210 14:05:00 EST,,78.0,101235.23048,1998692.0,101235.23048,1.06382,101308.0,101308.0,75.87392
35,Paper,Paper,2.12666,USD,IDEALPRO,35.0,,,1.0,1.06333,100000.0,-100000.0,-2.12666,SLD,5m_,USD,20170210 14:10:00 EST,,0.0,101233.10382,1892359.0,101233.10382,1.06333,101308.0,101308.0,-2.12666
36,Paper,Paper,2.12514,USD,IDEALPRO,36.0,,,1.0,1.06257,100000.0,0.0,73.87486,BOT,5m_,USD,20170210 14:55:00 EST,,76.0,101306.97868,1998616.0,101306.97868,1.06333,101384.0,101384.0,73.87486
37,Paper,Paper,2.12516,USD,IDEALPRO,37.0,,,1.0,1.06258,100000.0,-100000.0,-2.12516,SLD,5m_,USD,20170210 15:00:00 EST,,0.0,101304.85352,1892358.0,101304.85352,1.06258,101384.0,101384.0,-2.12516
38,Paper,Paper,2.12392,USD,IDEALPRO,38.0,,,1.0,1.06196,100000.0,0.0,59.87608,BOT,5m_,USD,20170210 15:30:00 EST,,62.0,101364.7296,1998554.0,101364.7296,1.06258,101446.0,101446.0,59.87608
39,Paper,Paper,2.1245,USD,IDEALPRO,39.0,,,1.0,1.06225,100000.0,-100000.0,-2.1245,SLD,5m_,USD,20170210 15:35:00 EST,,0.0,101362.6051,1892329.0,101362.6051,1.06225,101446.0,101446.0,-2.1245
40,Paper,Paper,2.12234,USD,IDEALPRO,40.0,,,1.0,1.06117,100000.0,0.0,105.87766,BOT,5m_,USD,20170210 16:05:00 EST,,108.0,101468.48276,1998446.0,101468.48276,1.06225,101554.0,101554.0,105.87766
41,Paper,Paper,2.1229,USD,IDEALPRO,41.0,,,1.0,1.06145,100000.0,-100000.0,-2.1229,SLD,5m_,USD,20170210 16:10:00 EST,,0.0,101466.35986,1892301.0,101466.35986,1.06145,101554.0,101554.0,-2.1229
