Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20170130 18:20:00 EST,paperUSD,100000.0,100000.0,2000000.0,0,0.0,0.0,USD,100000.0,100000.0,0
20170130 18:20:00 EST,paperUSD,99998.0,100000.0,1997723.0,0,-2.0,0.0,USD,99998.0,100000.0,0
20170130 18:25:00 EST,paperUSD,99998.0,100002.0,1999998.0,0,-2.0,2.0,USD,99998.0,100002.0,0
20170130 18:30:00 EST,paperUSD,99996.0,100002.0,1997722.0,0,-4.0,2.0,USD,99996.0,100002.0,0
20170131 17:00:00 EST,paperUSD,99998.0,100006.0,1999994.0,0,-2.0,6.0,USD,99998.0,100006.0,0
20170131 17:05:00 EST,paperUSD,99996.0,100006.0,1997715.0,0,-4.0,6.0,USD,99996.0,100006.0,0
20170131 17:10:00 EST,paperUSD,99989.0,100001.0,1999989.0,0,-11.0,1.0,USD,99989.0,100001.0,0
20170131 17:15:00 EST,paperUSD,99987.0,100001.0,1997711.0,0,-13.0,1.0,USD,99987.0,100001.0,0
20170131 17:20:00 EST,paperUSD,99982.0,99998.0,1999986.0,0,-18.0,-2.0,USD,99982.0,99998.0,0
20170131 17:25:00 EST,paperUSD,99980.0,99998.0,1997711.0,0,-20.0,-2.0,USD,99980.0,99998.0,0
20170131 17:35:00 EST,paperUSD,99979.0,99999.0,1999985.0,0,-21.0,-1.0,USD,99979.0,99999.0,0
20170131 17:40:00 EST,paperUSD,99977.0,99999.0,1997716.0,0,-23.0,-1.0,USD,99977.0,99999.0,0
20170131 17:45:00 EST,paperUSD,99979.0,100003.0,1999981.0,0,-21.0,3.0,USD,99979.0,100003.0,0
20170131 17:50:00 EST,paperUSD,99977.0,100003.0,1997715.0,0,-23.0,3.0,USD,99977.0,100003.0,0
20170131 18:00:00 EST,paperUSD,99977.0,100005.0,1999979.0,0,-23.0,5.0,USD,99977.0,100005.0,0
20170131 18:05:00 EST,paperUSD,99975.0,100005.0,1997711.0,0,-25.0,5.0,USD,99975.0,100005.0,0
20170131 18:30:00 EST,paperUSD,99974.0,100006.0,1999978.0,0,-26.0,6.0,USD,99974.0,100006.0,0
20170131 18:35:00 EST,paperUSD,99972.0,100006.0,1997714.0,0,-28.0,6.0,USD,99972.0,100006.0,0
20170131 18:40:00 EST,paperUSD,99974.0,100010.0,1999974.0,0,-26.0,10.0,USD,99974.0,100010.0,0
20170131 18:45:00 EST,paperUSD,99972.0,100010.0,1997714.0,0,-28.0,10.0,USD,99972.0,100010.0,0
20170131 19:00:00 EST,paperUSD,99973.0,100013.0,1999971.0,0,-27.0,13.0,USD,99973.0,100013.0,0
20170131 19:05:00 EST,paperUSD,99971.0,100013.0,1997709.0,0,-29.0,13.0,USD,99971.0,100013.0,0
20170131 19:30:00 EST,paperUSD,99970.0,100014.0,1999970.0,0,-30.0,14.0,USD,99970.0,100014.0,0
20170131 19:35:00 EST,paperUSD,99968.0,100014.0,1997709.0,0,-32.0,14.0,USD,99968.0,100014.0,0
20170131 20:10:00 EST,paperUSD,99970.0,100018.0,1999966.0,0,-30.0,18.0,USD,99970.0,100018.0,0
20170131 20:15:00 EST,paperUSD,99968.0,100018.0,1997709.0,0,-32.0,18.0,USD,99968.0,100018.0,0
20170131 20:45:00 EST,paperUSD,99968.0,100020.0,1999964.0,0,-32.0,20.0,USD,99968.0,100020.0,0
20170131 20:50:00 EST,paperUSD,99966.0,100020.0,1997710.0,0,-34.0,20.0,USD,99966.0,100020.0,0
20170131 21:05:00 EST,paperUSD,99965.0,100021.0,1999963.0,0,-35.0,21.0,USD,99965.0,100021.0,0
20170131 21:10:00 EST,paperUSD,99963.0,100021.0,1997710.0,0,-37.0,21.0,USD,99963.0,100021.0,0
20170131 21:15:00 EST,paperUSD,99963.0,100023.0,1999961.0,0,-37.0,23.0,USD,99963.0,100023.0,0
20170131 21:20:00 EST,paperUSD,99961.0,100023.0,1997712.0,0,-39.0,23.0,USD,99961.0,100023.0,0
20170208 17:25:00 EST,paperUSD,99960.0,100024.0,1999960.0,0,-40.0,24.0,USD,99960.0,100024.0,0
20170208 17:30:00 EST,paperUSD,99958.0,100024.0,1997711.0,0,-42.0,24.0,USD,99958.0,100024.0,0
20170208 17:35:00 EST,paperUSD,99959.0,100027.0,1999957.0,0,-41.0,27.0,USD,99959.0,100027.0,0
20170208 17:40:00 EST,paperUSD,99957.0,100027.0,1997710.0,0,-43.0,27.0,USD,99957.0,100027.0,0
