dates,signals,safef,comment
1487.0,1,1,vwap
1487.0,1,1,vwap
1487.0,1,1,vwap
1487.0,1,1,vwap
1487.0,1,1,vwap
1486605000.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.07 | vwap: 1.07}
1486634100.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.07 | vwap: 1.07}
1486634400.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.07 | vwap: 1.07}
1486641000.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.07 | vwap: 1.07}
1486641300.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.07 | vwap: 1.07}
1486668600.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.07 | vwap: 1.07}
1486668900.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.07 | vwap: 1.07}
1486695300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.07 | vwap: 1.07}
1486695600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486710300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486710600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486713300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486713600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486715400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486715700.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486717500.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486717800.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486979100.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486979400.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486980600.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1486980900.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487007600.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487007900.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487066700.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487067000.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487067300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487067600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487068200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487068500.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487068800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487069100.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.07}
1487129700.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.06}
1487130000.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.06}
1487135700.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.06}
1487136000.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.06 | vwap: 1.06}
1487147400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.05 | vwap: 1.06}
1487147700.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_EURUSD5m_EURUSD | indEMA9: 1.05 | vwap: 1.06}
