,20161109,20161110
EMD open,2016-11-08 18:00,2016-11-09 18:00
EMD close,2016-11-09 17:00,2016-11-10 17:00
EMD trigger,2016-11-09 07:00,2016-11-10 07:00
YM open,2016-11-08 18:00,2016-11-09 18:00
YM close,2016-11-09 17:00,2016-11-10 17:00
YM trigger,2016-11-09 07:00,2016-11-10 07:00
ZN open,2016-11-08 18:00,2016-11-09 18:00
ZN close,2016-11-09 17:00,2016-11-10 17:00
ZN trigger,2016-11-09 07:00,2016-11-10 07:00
HO open,2016-11-08 18:00,2016-11-09 18:00
HO close,2016-11-09 17:00,2016-11-10 17:00
HO trigger,2016-11-09 07:00,2016-11-10 07:00
GBP open,2016-11-08 18:00,2016-11-09 18:00
GBP close,2016-11-09 17:00,2016-11-10 17:00
GBP trigger,2016-11-09 07:00,2016-11-10 07:00
HG open,2016-11-08 18:00,2016-11-09 18:00
HG close,2016-11-09 17:00,2016-11-10 17:00
HG trigger,2016-11-09 07:00,2016-11-10 07:00
HE open,2016-11-08 09:30,2016-11-09 09:30
HE close,2016-11-09 14:05,2016-11-10 14:05
HE trigger,2016-11-09 04:05,2016-11-10 04:05
LE open,2016-11-08 09:30,2016-11-09 09:30
LE close,2016-11-09 14:05,2016-11-10 14:05
LE trigger,2016-11-09 04:05,2016-11-10 04:05
LB open,2016-11-08 18:00,2016-11-09 18:00
LB close,2016-11-09 17:00,2016-11-10 17:00
LB trigger,2016-11-09 07:00,2016-11-10 07:00
ZS open,2016-11-08 20:00,2016-11-09 20:00
ZS close,2016-11-09 14:20,2016-11-10 14:20
ZS trigger,2016-11-09 04:20,2016-11-10 04:20
NG open,2016-11-08 18:00,2016-11-09 18:00
NG close,2016-11-09 17:00,2016-11-10 17:00
NG trigger,2016-11-09 07:00,2016-11-10 07:00
PA open,2016-11-08 18:00,2016-11-09 18:00
PA close,2016-11-09 17:00,2016-11-10 17:00
PA trigger,2016-11-09 07:00,2016-11-10 07:00
ZR open,2016-11-08 20:00,2016-11-09 20:00
ZR close,2016-11-09 14:20,2016-11-10 14:20
ZR trigger,2016-11-09 04:20,2016-11-10 04:20
RB open,2016-11-08 18:00,2016-11-09 18:00
