19860919, 2.35737860, 2.36127509, 2.35238767, 2.35571260,3.0000
19860922, 2.33208955, 2.35626767, 2.33208955, 2.34137204,3.0000
19860923, 2.29673863, 2.29990800, 2.28990153, 2.29147571,3.0000
19860924, 2.28728271, 2.30255584, 2.28728271, 2.30255584,3.0000
19860925, 2.31000231, 2.31000231, 2.29410415, 2.29515722,3.0000
19860926, 2.27842333, 2.28050171, 2.27376080, 2.28050171,3.0000
19860929, 2.29305205, 2.29885057, 2.29147571, 2.29515722,3.0000
19860930, 2.28885328, 2.29252636, 2.28885328, 2.28990153,3.0000
19861001, 2.29779412, 2.29779412, 2.29200092, 2.29568411,3.0000
19861002, 2.28780599, 2.29726625, 2.28780599, 2.29095074,3.0000
19861003, 2.29095074, 2.29095074, 2.29095074, 2.29095074,3.0000
19861006, 2.26398008, 2.26551880, 2.26398008, 2.26757370,3.0000
19861007, 2.26295542, 2.26346763, 2.25733634, 2.26142017,3.0000
19861008, 2.26039783, 2.26039783, 2.25073149, 2.25073149,3.0000
19861009, 2.22866057, 2.23114681, 2.22469410, 2.22469410,3.0000
19861010, 2.23064912, 2.23713647, 2.23064912, 2.23713647,3.0000
19861013, 2.25275963, 2.25275963, 2.24517288, 2.24517288,3.0000
19861014, 2.24971879, 2.24971879, 2.23563604, 2.23763706,3.0000
19861015, 2.23763706, 2.23763706, 2.23015165, 2.23513634,3.0000
19861016, 2.24820144, 2.25479143, 2.24315837, 2.25479143,3.0000
19861017, 2.24265530, 2.24668614, 2.24265530, 2.24517288,3.0000
19861020, 2.24668614, 2.24668614, 2.24315837, 2.24315837,3.0000
19861021, 2.24921278, 2.25580871, 2.24921278, 2.24971879,3.0000
19861022, 2.25022502, 2.25022502, 2.24618149, 2.24921278,3.0000
19861023, 2.24416517, 2.24416517, 2.22568440, 2.22568440,3.0000
19861024, 2.20507166, 2.21729490, 2.20409963, 2.21729490,3.0000
19861027, 2.20215811, 2.20653133, 2.19876869, 2.19973603,3.0000
19861028, 2.19876869, 2.20361393, 2.19876869, 2.20070423,3.0000
19861029, 2.20215811, 2.20458554, 2.19925225, 2.20458554,3.0000
19861030, 2.19635405, 2.20070423, 2.17627856, 2.20070423,3.0000
19861031, 2.18914186, 2.19635405, 2.18914186, 2.19298246,3.0000
19861103, 2.21043324, 2.21141088, 2.20167327, 2.20555801,3.0000
19861104, 2.20701832, 2.20848057, 2.20118864, 2.20118864,3.0000
19861105, 2.20799293, 2.22469410, 2.20750552, 2.22469410,3.0000
19861106, 2.22123501, 2.22915738, 2.22123501, 2.22667557,3.0000
19861107, 2.22074173, 2.22222222, 2.21631206, 2.21631206,3.0000
19861110, 2.22123501, 2.22617988, 2.21533008, 2.21533008,3.0000
19861111, 2.22915738, 2.23713647, 2.22816399, 2.23313979,3.0000
19861112, 2.23463687, 2.23863891, 2.23264121, 2.23264121,3.0000
19861113, 2.20896841, 2.21190002, 2.20409963, 2.20409963,3.0000
19861114, 2.21092195, 2.21336875, 2.20848057, 2.20848057,3.0000
19861117, 2.21434898, 2.22123501, 2.21434898, 2.21827862,3.0000
19861118, 2.22271616, 2.22370469, 2.21729490, 2.21729490,3.0000
19861119, 2.21190002, 2.21385876, 2.21190002, 2.21385876,3.0000
19861120, 2.20361393, 2.20458554, 2.19973603, 2.19973603,3.0000
19861121, 2.19538968, 2.20896841, 2.19394471, 2.20896841,3.0000
19861124, 2.20701832, 2.20701832, 2.19442616, 2.19635405,3.0000
19861125, 2.18914186, 2.18914186, 2.18388294, 2.18531469,3.0000
19861126, 2.19731927, 2.19731927, 2.19202104, 2.19250164,3.0000
19861127, 2.20361393, 2.20507166, 2.19973603, 2.19973603,3.0000
19861128, 2.20070423, 2.20653133, 2.20070423, 2.20653133,3.0000
19861201, 2.20653133, 2.20799293, 2.19925225, 2.20799293,3.0000
19861202, 2.21729490, 2.21729490, 2.20118864, 2.20118864,3.0000
19861203, 2.20264317, 2.20264317, 2.19346348, 2.19346348,3.0000
19861204, 2.19635405, 2.19635405, 2.19154065, 2.19346348,3.0000
19861205, 2.18579235, 2.19058050, 2.18579235, 2.18914186,3.0000
19861208, 2.17627856, 2.18102508, 2.17627856, 2.17959895,3.0000
19861209, 2.17722621, 2.18531469, 2.17722621, 2.18531469,3.0000
